customer_id,hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,parking_spaces,total_of_special_requests,y_pred,y_pred_proba,timestamp
C26318,City Hotel,6,0,1,1,0.0,0,BB,FRA,Corporate,Corporate,1,1,7,A,A,0,No Deposit,UNK,91.0,0,Transient,80.0,0,3,0,0.2378966733502823,2017-01-02
C26319,City Hotel,28,4,10,3,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,130.9,0,1,1,0.8941712039297217,2017-01-02
C26320,Resort Hotel,1,0,3,1,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,UNK,0,Transient,43.0,0,0,1,0.5104820416245335,2017-01-02
C26321,Resort Hotel,2,0,4,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,UNK,0,Transient,50.85,0,1,0,0.0622616998301457,2017-01-02
C26322,Resort Hotel,78,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,UNK,0,Transient,42.0,0,2,0,0.0654754962528115,2017-01-02
C26323,City Hotel,28,4,10,2,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,96.9,0,1,1,0.8941712039297217,2017-01-02
C26324,Resort Hotel,2,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,UNK,0,Transient,64.0,1,1,0,0.0199905941283303,2017-01-02
C26325,City Hotel,0,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,UNK,0,Transient,0.0,0,0,1,0.8126218703168012,2017-01-02
C26326,Resort Hotel,38,2,8,2,0.0,0,HB,FRA,Direct,Direct,1,0,1,F,F,1,No Deposit,250.0,UNK,0,Transient,89.06,1,0,0,0.0115370381626297,2017-01-02
C26327,City Hotel,0,0,1,1,0.0,0,BB,PRT,Complementary,Direct,1,0,1,E,E,2,No Deposit,UNK,UNK,0,Transient,0.0,1,2,0,0.0218363606821613,2017-01-02
C26328,Resort Hotel,1,0,1,1,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,D,0,No Deposit,UNK,UNK,0,Transient,45.0,1,0,0,0.0333898158595604,2017-01-02
C26329,City Hotel,64,2,5,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,74.8,0,1,0,0.3298132827942513,2017-01-02
C26330,City Hotel,87,2,5,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,68.07,0,1,0,0.1645872030830076,2017-01-02
C26331,City Hotel,4,1,5,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,53.83,0,1,0,0.1834591533663033,2017-01-02
C26332,City Hotel,0,0,2,2,0.0,0,BB,USA,Direct,Direct,1,0,1,D,D,0,No Deposit,14.0,UNK,0,Transient,108.0,0,0,0,0.3148356256156412,2017-01-02
C26333,City Hotel,5,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,9,A,A,0,No Deposit,UNK,40.0,0,Transient,65.0,0,1,1,0.5964169729125504,2017-01-02
C26334,Resort Hotel,186,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,314.0,UNK,0,Transient,51.6,0,0,0,0.0365326400501697,2017-01-02
C26335,Resort Hotel,5,0,4,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,314.0,UNK,0,Transient,50.4,0,0,0,0.1288194816637414,2017-01-02
C26336,Resort Hotel,170,2,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,UNK,0,Transient,40.81,0,1,0,0.0650540127554865,2017-01-02
C26337,City Hotel,85,0,3,1,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,UNK,0,Transient,79.2,0,2,0,0.1483518680364168,2017-01-02
C26338,Resort Hotel,93,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,240.0,UNK,0,Transient,54.0,0,2,0,0.0413162049505861,2017-01-02
