customer_id,is_canceled
C16913,0
C16914,0
C16915,0
C16916,0
C16917,0
C16918,0
C16919,0
C16920,0
C16921,0
C16922,0
C16923,0
C16924,0
C16925,0
C16926,0
C16927,0
C16928,0
C16929,0
C16930,0
C16931,0
C16932,0
C16933,0
C16934,0
C16935,0
C16936,0
C16937,0
C16938,0
C16939,0
C16940,0
C16941,0
C16942,0
C16943,0
C16944,0
C16945,0
C16946,0
C16947,0
C16948,0
C16949,0
C16950,0
C16951,0
C16952,0
C16953,0
C16954,0
C16955,0
C16956,0
C16957,0
C16958,0
C16959,0
C16960,0
C16961,0
C16962,0
C16963,0
C16964,0
C16965,0
C16966,0
C16967,0
C16968,0
C16969,0
C16970,0
C16971,0
C16972,0
C16973,0
C16974,0
C16975,0
C16976,0
C16977,0
C16978,0
C16979,0
C16980,0
C16981,0
C16982,0
C16983,0
C16984,0
C16985,0
C16986,0
C16987,0
C16988,0
C16989,0
C16990,0
C16991,0
C16992,0
C16993,0
C16994,0
C16995,0
C16996,0
C16997,0
C16998,0
C16999,0
C17000,0
C17001,0
C17002,0
C17003,0
C17004,0
C17005,0
C17006,0
C17007,0
C17008,0
C17009,0
C17010,0
C17011,0
C17012,0
C17013,0
C17014,0
C17015,0
C17016,0
C17017,0
C17018,0
C17019,0
C17020,0
C17021,0
C17022,0
C17023,0
C17024,0
C17025,0
C17026,0
C17027,0
C17028,0
C17029,0
C17030,0
C17031,0
C17032,0
C17033,0
C17034,0
C17035,0
C17036,0
C17037,0
C17038,0
C17039,0
C17040,0
C17041,0
C17042,0
C17043,0
C17044,0
C17045,0
C17046,0
C17047,0
C17048,0
C17049,0
C17050,0
C17051,0
C17052,0
C17053,0
C17054,0
C17055,0
C17056,0
C17057,0
C17058,0
C17059,0
C17060,0
C17061,0
C17062,0
C17063,0
C17064,0
C17065,0
C17066,0
C17067,0
C17068,0
C17069,0
C17070,0
C17071,0
C17072,0
C17073,0
C17074,0
C17075,0
C17076,0
C17077,0
C17078,0
C17079,0
C17080,0
C17081,0
C17082,0
C17083,0
C17084,0
C17085,0
C17086,0
C17087,0
C17088,0
C17089,0
C17090,0
C17091,0
C17092,0
C17093,0
C17094,0
C17095,0
C17096,0
C17097,0
