Index,is_canceled
98729,0
99040,0
99031,0
98725,0
98733,0
98728,0
98706,0
28871,0
14281,0
98676,0
28589,0
28828,0
14582,0
28602,0
98753,0
98752,0
98554,0
98998,0
98999,0
99000,0
98926,0
98745,0
98700,0
98701,0
98917,0
98912,0
98866,0
98824,0
98844,0
98836,0
98834,0
98832,0
98831,0
98721,0
98825,0
98828,0
98827,0
98851,0
98869,0
98885,0
98884,0
98877,0
98870,0
98759,0
98925,0
98761,0
98789,0
98958,0
98812,0
98956,0
28487,0
99735,0
98813,0
98814,0
98790,0
98815,0
98817,0
98782,0
28510,0
98780,0
28536,0
28537,0
98778,0
98966,0
98788,0
98777,0
98791,0
98792,0
28408,0
28411,0
28435,0
28439,0
98805,0
28441,0
98796,0
98798,0
28463,0
98800,0
28464,0
28465,0
98794,0
98775,0
98801,0
99161,0
28559,0
98971,0
98768,0
98973,0
28580,0
98820,0
98668,0
98655,0
28565,0
28568,0
28569,0
28570,0
28571,0
28575,0
28576,0
28577,0
28567,0
28780,0
28564,0
98769,0
98762,0
98770,0
28546,0
28548,0
98967,0
98677,0
98756,0
98754,0
98719,0
98793,0
57929,0
57938,0
98720,0
57944,0
57932,0
93823,0
24004,0
98748,0
98808,0
28873,0
28662,0
28661,0
86254,0
92059,0
81387,0
98803,0
98787,0
98784,0
95391,0
13871,0
94277,0
87044,0
98724,0
98771,0
98727,0
98731,0
98730,0
98785,0
98760,0
98799,0
28706,0
93824,0
14420,0
28705,0
98764,0
98766,0
98797,0
98767,0
98722,0
98961,0
98891,0
28466,0
98889,0
98887,0
98883,0
98882,0
98960,0
28460,0
98879,0
98878,0
98876,0
98875,0
98874,0
28454,0
28468,0
98872,0
98867,0
28563,0
28438,0
98864,0
98863,0
98862,0
98861,0
98860,0
98859,0
98858,0
98857,0
98856,0
98962,0
98854,0
98871,0
98853,0
98893,0
98896,0
28560,0
28572,0
98940,0
28574,0
28578,0
28581,0
28558,0
28593,0
28596,0
28598,0
28605,0
28606,0
28608,0
28612,0
98895,0
78594,0
98951,0
98930,0
28512,0
28509,0
98921,0
98918,0
98955,0
98911,0
98910,0
28628,0
28631,0
28632,0
28489,0
28474,0
28541,0
